pathway	hgnc_symbol
hsa00010	AKR1A1
hsa00010	ADH1A
hsa00010	ADH1B
hsa00010	ADH1C
hsa00010	ADH4
hsa00010	ADH5
hsa00010	ADH6
hsa00010	GALM
hsa00010	ADH7
hsa00010	LDHAL6A
hsa00010	DLAT
hsa00010	DLD
hsa00010	ENO1
hsa00010	ENO2
hsa00010	ENO3
hsa00010	ALDH2
hsa00010	ALDH3A1
hsa00010	ALDH1B1
hsa00010	ALDH1A3
hsa00010	FBP1
hsa00010	ALDH3B1
hsa00010	ALDH3B2
hsa00010	ALDH9A1
hsa00010	ALDH3A2
hsa00010	ALDOA
hsa00010	
hsa00010	ALDOB
hsa00010	ALDOC
hsa00010	G6PC
hsa00010	GAPDH
hsa00010	GAPDHS
hsa00010	GCK
hsa00010	GPI
hsa00010	HK1
hsa00010	HK2
hsa00010	HK3
hsa00010	ENO4
hsa00010	LDHA
hsa00010	LDHB
hsa00010	LDHC
hsa00010	PGAM4
hsa00010	ALDH7A1
hsa00010	PCK1
hsa00010	PCK2
hsa00010	PDHA1
hsa00010	PDHA2
hsa00010	PDHB
hsa00010	PFKL
hsa00010	PFKM
hsa00010	PFKP
hsa00010	PGAM1
hsa00010	PGAM2
hsa00010	PGK1
hsa00010	PGK2
hsa00010	PGM1
hsa00010	PKLR
hsa00010	PKM
hsa00010	PGM2
hsa00010	ACSS2
hsa00010	G6PC2
hsa00010	BPGM
hsa00010	TPI1
hsa00010	HKDC1
hsa00010	ADPGK
hsa00010	ACSS1
hsa00010	FBP2
hsa00010	LDHAL6B
hsa00010	G6PC3
hsa00010	MINPP1
hsa00020	CS
hsa00020	DLAT
hsa00020	DLD
hsa00020	DLST
hsa00020	FH
hsa00020	IDH1
hsa00020	IDH2
hsa00020	IDH3A
hsa00020	IDH3B
hsa00020	IDH3G
hsa00020	MDH1
hsa00020	MDH2
hsa00020	ACLY
hsa00020	ACO1
hsa00020	OGDH
hsa00020	ACO2
hsa00020	PC
hsa00020	PCK1
hsa00020	PCK2
hsa00020	PDHA1
hsa00020	PDHA2
hsa00020	PDHB
hsa00020	OGDHL
hsa00020	SDHA
hsa00020	SDHB
hsa00020	SDHC
hsa00020	SDHD
hsa00020	SUCLG2
hsa00020	SUCLG1
hsa00020	SUCLA2
hsa00030	GLYCTK
hsa00030	FBP1
hsa00030	PRPS1L1
hsa00030	ALDOA
hsa00030	
hsa00030	ALDOB
hsa00030	RPIA
hsa00030	ALDOC
hsa00030	G6PD
hsa00030	PGLS
hsa00030	GPI
hsa00030	IDNK
hsa00030	DERA
hsa00030	PFKL
hsa00030	PFKM
hsa00030	PFKP
hsa00030	PGD
hsa00030	PGM1
hsa00030	PGM2
hsa00030	PRPS1
hsa00030	PRPS2
hsa00030	RPE
hsa00030	RBKS
hsa00030	TALDO1
hsa00030	TKT
hsa00030	RPEL1
hsa00030	TKTL1
hsa00030	TKTL2
hsa00030	FBP2
hsa00030	RGN
hsa00030	H6PD
hsa00040	AKR1A1
hsa00040	UGT2B11
hsa00040	UGT2A1
hsa00040	AKR1B1
hsa00040	DHDH
hsa00040	GUSB
hsa00040	CRYL1
hsa00040	DCXR
hsa00040	UGT2B28
hsa00040	UGT1A10
hsa00040	UGT1A8
hsa00040	UGT1A7
hsa00040	UGT1A6
hsa00040	UGT1A5
hsa00040	UGT1A9
hsa00040	UGT1A4
hsa00040	UGT1A1
hsa00040	UGT1A3
hsa00040	AKR1B10
hsa00040	UGT2A2
hsa00040	RPE
hsa00040	SORD
hsa00040	RPEL1
hsa00040	ISPD
hsa00040	UGDH
hsa00040	UGP2
hsa00040	UGT2B4
hsa00040	UGT2B7
hsa00040	UGT2B10
hsa00040	UGT2B15
hsa00040	UGT2B17
hsa00040	UGT2A3
hsa00040	KL
hsa00040	XYLB
hsa00051	FUK
hsa00051	FBP1
hsa00051	ALDOA
hsa00051	
hsa00051	ALDOB
hsa00051	ALDOC
hsa00051	AKR1B1
hsa00051	TKFC
hsa00051	GMDS
hsa00051	GMPPB
hsa00051	GMPPA
hsa00051	HK1
hsa00051	HK2
hsa00051	HK3
hsa00051	KHK
hsa00051	MPI
hsa00051	PFKFB1
hsa00051	PFKFB2
hsa00051	PFKFB3
hsa00051	PFKFB4
hsa00051	PFKL
hsa00051	PFKM
hsa00051	PFKP
hsa00051	PMM1
hsa00051	PMM2
hsa00051	ENOSF1
hsa00051	AKR1B10
hsa00051	TIGAR
hsa00051	SORD
hsa00051	TPI1
hsa00051	TSTA3
hsa00051	HKDC1
hsa00051	FBP2
hsa00051	FPGT
hsa00052	GALM
hsa00052	AKR1B1
hsa00052	G6PC
hsa00052	GAA
hsa00052	GALE
hsa00052	GALK1
hsa00052	GALT
hsa00052	GANC
hsa00052	GCK
hsa00052	B4GALT1
hsa00052	GLA
hsa00052	GLB1
hsa00052	HK1
hsa00052	HK2
hsa00052	HK3
hsa00052	LALBA
hsa00052	LCT
hsa00052	PFKL
hsa00052	PFKM
hsa00052	PFKP
hsa00052	PGM1
hsa00052	PGM2
hsa00052	AKR1B10
hsa00052	G6PC2
hsa00052	SI
hsa00052	UGP2
hsa00052	HKDC1
hsa00052	B4GALT2
hsa00052	MGAM
hsa00052	G6PC3
hsa00052	MGAM2
hsa00053	UGT2B11
hsa00053	UGT2A1
hsa00053	ALDH2
hsa00053	ALDH1B1
hsa00053	ALDH9A1
hsa00053	ALDH3A2
hsa00053	ALDH7A1
hsa00053	UGT2B28
hsa00053	UGT1A10
hsa00053	UGT1A8
hsa00053	UGT1A7
hsa00053	UGT1A6
hsa00053	UGT1A5
hsa00053	UGT1A9
hsa00053	UGT1A4
hsa00053	UGT1A1
hsa00053	UGT1A3
hsa00053	MIOX
hsa00053	UGT2A2
hsa00053	UGDH
hsa00053	UGT2B4
hsa00053	UGT2B7
hsa00053	UGT2B10
hsa00053	UGT2B15
hsa00053	UGT2B17
hsa00053	UGT2A3
hsa00053	RGN
hsa00061	ACSL1
hsa00061	ACSL3
hsa00061	ACSL4
hsa00061	FASN
hsa00061	ACSBG1
hsa00061	ACSL6
hsa00061	MCAT
hsa00061	ACACA
hsa00061	ACACB
hsa00061	ACSL5
hsa00061	OXSM
hsa00061	OLAH
hsa00061	ACSBG2
hsa00062	ACAA2
hsa00062	ACOT2
hsa00062	ACOT7
hsa00062	THEM4
hsa00062	ACOT4
hsa00062	ECHS1
hsa00062	HACD2
hsa00062	THEM5
hsa00062	HADHA
hsa00062	HADHB
hsa00062	HADH
hsa00062	HACD4
hsa00062	MECR
hsa00062	ABHD17B
hsa00062	HSD17B12
hsa00062	HACD3
hsa00062	ELOVL2
hsa00062	PPT1
hsa00062	ABHD17C
hsa00062	ELOVL5
hsa00062	ACOT1
hsa00062	ELOVL1
hsa00062	ELOVL4
hsa00062	ELOVL6
hsa00062	ELOVL7
hsa00062	ABHD17A
hsa00062	ELOVL3
hsa00062	HACD1
hsa00062	PPT2
hsa00062	TECR
hsa00071	ACAA2
hsa00071	ECI2
hsa00071	ADH1A
hsa00071	ADH1B
hsa00071	ADH1C
hsa00071	CPT1C
hsa00071	ADH4
hsa00071	ADH5
hsa00071	ADH6
hsa00071	ADH7
hsa00071	CPT1A
hsa00071	CPT1B
hsa00071	CPT2
hsa00071	CYP4A11
hsa00071	ECI1
hsa00071	ECHS1
hsa00071	EHHADH
hsa00071	ALDH2
hsa00071	ACSL1
hsa00071	ACSL3
hsa00071	ACSL4
hsa00071	ALDH1B1
hsa00071	ALDH9A1
hsa00071	ALDH3A2
hsa00071	ACSBG1
hsa00071	ACSL6
hsa00071	GCDH
hsa00071	CYP4A22
hsa00071	ACAA1
hsa00071	HADHA
hsa00071	HADHB
hsa00071	HADH
hsa00071	ACADL
hsa00071	ACADM
hsa00071	ACADS
hsa00071	ACADSB
hsa00071	ACADVL
hsa00071	ACAT1
hsa00071	ACAT2
hsa00071	ALDH7A1
hsa00071	ACOX1
hsa00071	ACSL5
hsa00071	ACSBG2
hsa00071	ACOX3
hsa00072	HMGCL
hsa00072	HMGCS1
hsa00072	HMGCS2
hsa00072	ACAT1
hsa00072	ACAT2
hsa00072	OXCT1
hsa00072	HMGCLL1
hsa00072	BDH2
hsa00072	BDH1
hsa00072	OXCT2
hsa00100	CEL
hsa00100	EBP
hsa00100	CYP2R1
hsa00100	CYP24A1
hsa00100	CYP27B1
hsa00100	CYP51A1
hsa00100	DHCR7
hsa00100	DHCR24
hsa00100	FDFT1
hsa00100	
hsa00100	LIPA
hsa00100	LSS
hsa00100	NSDHL
hsa00100	HSD17B7
hsa00100	MSMO1
hsa00100	SC5D
hsa00100	SOAT1
hsa00100	SQLE
hsa00100	TM7SF2
hsa00100	SOAT2
hsa00120	ACOT8
hsa00120	CYP46A1
hsa00120	SLC27A5
hsa00120	AKR1C4
hsa00120	CYP7A1
hsa00120	CYP8B1
hsa00120	CYP27A1
hsa00120	AMACR
hsa00120	HSD17B4
hsa00120	CYP39A1
hsa00120	BAAT
hsa00120	SCP2
hsa00120	AKR1D1
hsa00120	HSD3B7
hsa00120	ACOX2
hsa00120	CH25H
hsa00120	CYP7B1
hsa00130	COQ7
hsa00130	VKORC1L1
hsa00130	NQO1
hsa00130	GGCX
hsa00130	COQ2
hsa00130	HPD
hsa00130	COQ6
hsa00130	COQ3
hsa00130	TAT
hsa00130	VKORC1
hsa00130	COQ5
hsa00140	CYP3A7-CYP3A51P
hsa00140	UGT2B11
hsa00140	UGT2A1
hsa00140	AKR1C4
hsa00140	COMT
hsa00140	CYP1A1
hsa00140	CYP1A2
hsa00140	CYP1B1
hsa00140	CYP3A7
hsa00140	CYP2E1
hsa00140	CYP3A4
hsa00140	CYP3A5
hsa00140	CYP7A1
hsa00140	CYP11A1
hsa00140	CYP11B1
hsa00140	CYP11B2
hsa00140	CYP17A1
hsa00140	CYP19A1
hsa00140	CYP21A2
hsa00140	AKR1C1
hsa00140	AKR1C2
hsa00140	
hsa00140	LRTOMT
hsa00140	HSD3B1
hsa00140	HSD3B2
hsa00140	HSD11B1
hsa00140	HSD11B2
hsa00140	HSD17B1
hsa00140	HSD17B3
hsa00140	HSD17B2
hsa00140	STS
hsa00140	HSD17B12
hsa00140	HSD17B7
hsa00140	UGT2B28
hsa00140	UGT1A10
hsa00140	UGT1A8
hsa00140	UGT1A7
hsa00140	UGT1A6
hsa00140	UGT1A5
hsa00140	UGT1A9
hsa00140	UGT1A4
hsa00140	UGT1A1
hsa00140	UGT1A3
hsa00140	UGT2A2
hsa00140	SRD5A1
hsa00140	SRD5A2
hsa00140	AKR1D1
hsa00140	SULT1E1
hsa00140	SULT2B1
hsa00140	UGT2B4
hsa00140	UGT2B7
hsa00140	UGT2B10
hsa00140	UGT2B15
hsa00140	UGT2B17
hsa00140	HSD17B8
hsa00140	SRD5A3
hsa00140	UGT2A3
hsa00140	HSD17B6
hsa00140	AKR1C3
hsa00140	CYP7B1
hsa00190	NDUFC2-KCTD14
hsa00190	COX17
hsa00190	TCIRG1
hsa00190	ATP5PD
hsa00190	ATP5MG
hsa00190	UQCR11
hsa00190	COX6B2
hsa00190	NDUFA11
hsa00190	ATP6V1G3
hsa00190	COX4I1
hsa00190	COX5B
hsa00190	COX6A1
hsa00190	COX6A2
hsa00190	COX6B1
hsa00190	COX6C
hsa00190	COX7A1
hsa00190	COX7A2
hsa00190	COX7B
hsa00190	COX7C
hsa00190	COX8A
hsa00190	COX10
hsa00190	COX11
hsa00190	COX15
hsa00190	CYC1
hsa00190	ATP6V0E2
hsa00190	COX7B2
hsa00190	ATP6V0A2
hsa00190	ATP6V0D2
hsa00190	ATP6V1C2
hsa00190	PPA2
hsa00190	UQCRQ
hsa00190	UQCR10
hsa00190	COX8C
hsa00190	NDUFS7
hsa00190	UQCRHL
hsa00190	MT-ATP6
hsa00190	MT-ATP8
hsa00190	MT-CO1
hsa00190	MT-CO2
hsa00190	MT-CO3
hsa00190	MT-CYB
hsa00190	MT-ND1
hsa00190	MT-ND2
hsa00190	MT-ND3
hsa00190	MT-ND4
hsa00190	MT-ND4L
hsa00190	MT-ND5
hsa00190	MT-ND6
hsa00190	NDUFA1
hsa00190	NDUFA2
hsa00190	NDUFA3
hsa00190	
hsa00190	NDUFA4
hsa00190	NDUFA5
hsa00190	NDUFA6
hsa00190	NDUFA7
hsa00190	NDUFA8
hsa00190	NDUFA9
hsa00190	NDUFA10
hsa00190	NDUFAB1
hsa00190	NDUFB1
hsa00190	NDUFB2
hsa00190	NDUFB3
hsa00190	NDUFB4
hsa00190	NDUFB5
hsa00190	NDUFB6
hsa00190	NDUFB7
hsa00190	NDUFB8
hsa00190	NDUFB9
hsa00190	NDUFB10
hsa00190	NDUFC1
hsa00190	NDUFC2
hsa00190	NDUFS1
hsa00190	NDUFS2
hsa00190	NDUFS3
hsa00190	NDUFV1
hsa00190	NDUFS4
hsa00190	NDUFS5
hsa00190	NDUFS6
hsa00190	NDUFS8
hsa00190	NDUFV2
hsa00190	NDUFV3
hsa00190	ATP12A
hsa00190	ATP4A
hsa00190	ATP4B
hsa00190	ATP5F1A
hsa00190	ATP5F1B
hsa00190	ATP6V0A4
hsa00190	ATP5F1C
hsa00190	NDUFA13
hsa00190	ATP5F1D
hsa00190	ATP6V1D
hsa00190	ATP5F1E
hsa00190	ATP5PB
hsa00190	ATP5MC1
hsa00190	ATP6V1H
hsa00190	ATP5MC2
hsa00190	ATP5MC3
hsa00190	ATP5ME
hsa00190	ATP5PF
hsa00190	ATP6V1A
hsa00190	ATP6V1B1
hsa00190	ATP6V1B2
hsa00190	ATP6V0C
hsa00190	ATP6V1C1
hsa00190	ATP6V1E1
hsa00190	ATP6V0B
hsa00190	ATP6V1G2
hsa00190	ATP6V0A1
hsa00190	ATP6AP1
hsa00190	ATP5PO
hsa00190	NDUFB11
hsa00190	PPA1
hsa00190	NDUFA12
hsa00190	NDUFA4L2
hsa00190	SDHA
hsa00190	SDHB
hsa00190	SDHC
hsa00190	SDHD
hsa00190	LHPP
hsa00190	UQCRB
hsa00190	UQCRC1
hsa00190	UQCRC2
hsa00190	UQCRFS1
hsa00190	UQCRH
hsa00190	COX4I2
hsa00190	ATP6V0E1
hsa00190	ATP6V1E2
hsa00190	ATP6V0D1
hsa00190	COX7A2L
hsa00190	ATP6V1F
hsa00190	COX5A
hsa00190	ATP6V1G1
hsa00190	ATP5MF
hsa00220	ABHD14A-ACY1
hsa00220	CPS1
hsa00220	NAGS
hsa00220	GLS2
hsa00220	GLS
hsa00220	GLUD1
hsa00220	GLUD2
hsa00220	GLUL
hsa00220	GOT1
hsa00220	GOT2
hsa00220	GPT
hsa00220	ARG1
hsa00220	ARG2
hsa00220	ASL
hsa00220	ASS1
hsa00220	NOS1
hsa00220	NOS2
hsa00220	NOS3
hsa00220	OTC
hsa00220	GPT2
hsa00220	ACY1
hsa00230	ADA
hsa00230	NT5C1B-RDH14
hsa00230	NME6
hsa00230	AK6
hsa00230	PAICS
hsa00230	POLR3F
hsa00230	POLR3G
hsa00230	POLR3C
hsa00230	ADCY1
hsa00230	POLD3
hsa00230	ADCY2
hsa00230	PDE10A
hsa00230	ADCY3
hsa00230	ADCY5
hsa00230	POLR3A
hsa00230	NUDT5
hsa00230	ADCY6
hsa00230	ADCY7
hsa00230	ADCY8
hsa00230	ADCY9
hsa00230	NT5C3B
hsa00230	AK7
hsa00230	ADSSL1
hsa00230	CANT1
hsa00230	NUDT16
hsa00230	ADK
hsa00230	ADSL
hsa00230	AK8
hsa00230	ADSS
hsa00230	DCK
hsa00230	POLR3H
hsa00230	DGUOK
hsa00230	ADCY4
hsa00230	AK1
hsa00230	AK2
hsa00230	AK4
hsa00230	AK9
hsa00230	PRPS1L1
hsa00230	TWISTNB
hsa00230	FHIT
hsa00230	ENPP4
hsa00230	NT5C2
hsa00230	POLA2
hsa00230	POLR2J2
hsa00230	POLR1A
hsa00230	GART
hsa00230	AK5
hsa00230	AMPD1
hsa00230	AMPD2
hsa00230	PDE7B
hsa00230	AMPD3
hsa00230	GMPR
hsa00230	GUCY1A2
hsa00230	GUCY1A1
hsa00230	GUCY1B1
hsa00230	GUCY2C
hsa00230	GUCY2F
hsa00230	GUK1
hsa00230	NME7
hsa00230	GUCY2D
hsa00230	NT5C
hsa00230	ZNRD1
hsa00230	NUDT2
hsa00230	HPRT1
hsa00230	APRT
hsa00230	IMPDH1
hsa00230	IMPDH2
hsa00230	ITPA
hsa00230	HDDC3
hsa00230	ENTPD8
hsa00230	
hsa00230	ATIC
hsa00230	NME1
hsa00230	NME2
hsa00230	NME3
hsa00230	NME4
hsa00230	PNP
hsa00230	NPR1
hsa00230	NPR2
hsa00230	NT5E
hsa00230	RRM2B
hsa00230	AK3
hsa00230	PDE11A
hsa00230	POLR1D
hsa00230	NT5C3A
hsa00230	GMPR2
hsa00230	PDE1A
hsa00230	PDE1C
hsa00230	PDE2A
hsa00230	PDE3A
hsa00230	PDE3B
hsa00230	PDE4A
hsa00230	PDE4B
hsa00230	PDE4C
hsa00230	PDE4D
hsa00230	PDE6A
hsa00230	PDE6C
hsa00230	PDE6D
hsa00230	PDE6G
hsa00230	PDE6H
hsa00230	PDE7A
hsa00230	PDE8A
hsa00230	PDE9A
hsa00230	PDE1B
hsa00230	PDE6B
hsa00230	ENPP1
hsa00230	ENPP3
hsa00230	POLR3K
hsa00230	ADA2
hsa00230	PFAS
hsa00230	PGM1
hsa00230	PKLR
hsa00230	PKM
hsa00230	NUDT9
hsa00230	POLE3
hsa00230	POLA1
hsa00230	POLD1
hsa00230	POLD2
hsa00230	POLE
hsa00230	POLE2
hsa00230	POLR2A
hsa00230	POLR2B
hsa00230	POLR2C
hsa00230	POLR2D
hsa00230	POLR2E
hsa00230	POLR2F
hsa00230	POLR2G
hsa00230	POLR2H
hsa00230	POLR2I
hsa00230	POLR2J
hsa00230	POLR2K
hsa00230	POLR2L
hsa00230	PPAT
hsa00230	POLR2J3
hsa00230	PGM2
hsa00230	PRIM1
hsa00230	PRIM2
hsa00230	POLR3B
hsa00230	POLR3E
hsa00230	ADCY10
hsa00230	ALLC
hsa00230	PRPS1
hsa00230	PRPS2
hsa00230	POLE4
hsa00230	NT5M
hsa00230	ADPRM
hsa00230	POLD4
hsa00230	PRUNE1
hsa00230	RRM1
hsa00230	RRM2
hsa00230	POLR1E
hsa00230	URAD
hsa00230	NME1-NME2
hsa00230	POLR3D
hsa00230	XDH
hsa00230	POLR1B
hsa00230	POLR3GL
hsa00230	NTPCR
hsa00230	NT5C1A
hsa00230	PDE8B
hsa00230	PDE5A
hsa00230	PNPT1
hsa00230	GMPS
hsa00230	PAPSS2
hsa00230	PAPSS1
hsa00230	NT5C1B
hsa00230	ENTPD1
hsa00230	POLR1C
hsa00230	ENTPD2
hsa00230	ENTPD6
hsa00230	ENTPD3
hsa00230	ENTPD5
hsa00230	ENTPD4
hsa00230	GDA
hsa00232	NAT2
hsa00232	CYP1A2
hsa00232	CYP2A6
hsa00232	XDH
hsa00232	NAT1
hsa00240	NT5C1B-RDH14
hsa00240	NME6
hsa00240	POLR3F
hsa00240	POLR3G
hsa00240	POLR3C
hsa00240	POLD3
hsa00240	POLR3A
hsa00240	NT5C3B
hsa00240	CANT1
hsa00240	CMPK2
hsa00240	UPRT
hsa00240	CTPS1
hsa00240	UPP2
hsa00240	DCK
hsa00240	DCTD
hsa00240	POLR3H
hsa00240	DHODH
hsa00240	DPYD
hsa00240	DPYS
hsa00240	DTYMK
hsa00240	DUT
hsa00240	TYMP
hsa00240	AK9
hsa00240	TWISTNB
hsa00240	NT5C2
hsa00240	POLA2
hsa00240	POLR2J2
hsa00240	POLR1A
hsa00240	NME7
hsa00240	NT5C
hsa00240	ZNRD1
hsa00240	NUDT2
hsa00240	ENTPD8
hsa00240	NME1
hsa00240	NME2
hsa00240	NME3
hsa00240	NME4
hsa00240	PNP
hsa00240	NT5E
hsa00240	RRM2B
hsa00240	POLR1D
hsa00240	NT5C3A
hsa00240	ENPP1
hsa00240	ENPP3
hsa00240	CMPK1
hsa00240	POLR3K
hsa00240	UPB1
hsa00240	POLE3
hsa00240	POLA1
hsa00240	POLD1
hsa00240	POLD2
hsa00240	POLE
hsa00240	POLE2
hsa00240	POLR2A
hsa00240	
hsa00240	POLR2B
hsa00240	POLR2C
hsa00240	POLR2D
hsa00240	POLR2E
hsa00240	POLR2F
hsa00240	POLR2G
hsa00240	POLR2H
hsa00240	POLR2I
hsa00240	POLR2J
hsa00240	POLR2K
hsa00240	POLR2L
hsa00240	POLR2J3
hsa00240	UCKL1
hsa00240	PRIM1
hsa00240	PRIM2
hsa00240	POLR3B
hsa00240	POLR3E
hsa00240	CTPS2
hsa00240	POLE4
hsa00240	NT5M
hsa00240	POLD4
hsa00240	RRM1
hsa00240	RRM2
hsa00240	POLR1E
hsa00240	NME1-NME2
hsa00240	POLR3D
hsa00240	TK1
hsa00240	TK2
hsa00240	TYMS
hsa00240	UCK2
hsa00240	UMPS
hsa00240	UPP1
hsa00240	CAD
hsa00240	DCTPP1
hsa00240	UCK1
hsa00240	POLR1B
hsa00240	POLR3GL
hsa00240	NT5C1A
hsa00240	PNPT1
hsa00240	NT5C1B
hsa00240	ENTPD1
hsa00240	POLR1C
hsa00240	ENTPD6
hsa00240	ENTPD3
hsa00240	ENTPD5
hsa00240	ENTPD4
hsa00240	CDA
hsa00250	ADSSL1
hsa00250	CPS1
hsa00250	ADSL
hsa00250	ADSS
hsa00250	ABAT
hsa00250	AGXT
hsa00250	FOLH1
hsa00250	GAD1
hsa00250	GAD2
hsa00250	IL4I1
hsa00250	GFPT1
hsa00250	GLS2
hsa00250	GLS
hsa00250	GLUD1
hsa00250	GLUD2
hsa00250	GLUL
hsa00250	GOT1
hsa00250	GOT2
hsa00250	RIMKLA
hsa00250	GPT
hsa00250	NAT8L
hsa00250	ASL
hsa00250	ASNS
hsa00250	ASPA
hsa00250	ASS1
hsa00250	PPAT
hsa00250	NIT2
hsa00250	RIMKLB
hsa00250	AGXT2
hsa00250	CAD
hsa00250	ALDH5A1
hsa00250	GPT2
hsa00250	DDO
hsa00250	ALDH4A1
hsa00250	GFPT2
hsa00260	CBSL
hsa00260	CBS
hsa00260	SDS
hsa00260	SDSL
hsa00260	GLYCTK
hsa00260	CTH
hsa00260	DAO
hsa00260	DLD
hsa00260	SARDH
hsa00260	AGXT
hsa00260	ALAS1
hsa00260	ALAS2
hsa00260	GCAT
hsa00260	GAMT
hsa00260	PHGDH
hsa00260	GATM
hsa00260	GCSH
hsa00260	GNMT
hsa00260	GLDC
hsa00260	AMT
hsa00260	DMGDH
hsa00260	PSAT1
hsa00260	AOC2
hsa00260	MAOA
hsa00260	MAOB
hsa00260	PGAM4
hsa00260	ALDH7A1
hsa00260	PIPOX
hsa00260	PGAM1
hsa00260	PGAM2
hsa00260	CHDH
hsa00260	PSPH
hsa00260	BHMT
hsa00260	SRR
hsa00260	SHMT1
hsa00260	SHMT2
hsa00260	AGXT2
hsa00260	BPGM
hsa00260	AOC3
hsa00260	GRHPR
hsa00270	CBSL
hsa00270	CBS
hsa00270	CDO1
hsa00270	AHCYL1
hsa00270	SDS
hsa00270	SDSL
hsa00270	CTH
hsa00270	LDHAL6A
hsa00270	DNMT1
hsa00270	DNMT3A
hsa00270	DNMT3B
hsa00270	AHCY
hsa00270	AHCYL2
hsa00270	BHMT2
hsa00270	IL4I1
hsa00270	AMD1
hsa00270	GCLC
hsa00270	GCLM
hsa00270	MAT2B
hsa00270	GOT1
hsa00270	GOT2
hsa00270	GSS
hsa00270	LDHA
hsa00270	LDHB
hsa00270	LDHC
hsa00270	MAT1A
hsa00270	MAT2A
hsa00270	MDH1
hsa00270	MDH2
hsa00270	MPST
hsa00270	MTAP
hsa00270	MTR
hsa00270	APIP
hsa00270	ADI1
hsa00270	ENOPH1
hsa00270	BCAT1
hsa00270	BCAT2
hsa00270	BHMT
hsa00270	AGXT2
hsa00270	SMS
hsa00270	SRM
hsa00270	TAT
hsa00270	TST
hsa00270	MRI1
hsa00270	LDHAL6B
hsa00280	ACAA2
hsa00280	HIBADH
hsa00280	DBT
hsa00280	DLD
hsa00280	ABAT
hsa00280	ECHS1
hsa00280	EHHADH
hsa00280	ACSF3
hsa00280	ALDH2
hsa00280	ALDH1B1
hsa00280	ALDH9A1
hsa00280	ALDH3A2
hsa00280	IL4I1
hsa00280	HIBCH
hsa00280	ACAD8
hsa00280	ACAA1
hsa00280	HSD17B10
hsa00280	HADHA
hsa00280	HADHB
hsa00280	HADH
hsa00280	HMGCL
hsa00280	HMGCS1
hsa00280	HMGCS2
hsa00280	AOX1
hsa00280	ACADM
hsa00280	ACADS
hsa00280	ACADSB
hsa00280	IVD
hsa00280	ACAT1
hsa00280	ACAT2
hsa00280	ALDH6A1
hsa00280	MUT
hsa00280	ALDH7A1
hsa00280	OXCT1
hsa00280	PCCA
hsa00280	PCCB
hsa00280	HMGCLL1
hsa00280	AUH
hsa00280	MCCC1
hsa00280	BCAT1
hsa00280	BCAT2
hsa00280	BCKDHA
hsa00280	BCKDHB
hsa00280	OXCT2
hsa00280	MCCC2
hsa00280	AGXT2
hsa00280	AACS
hsa00280	MCEE
hsa00290	SDS
hsa00290	SDSL
hsa00290	BCAT1
hsa00290	BCAT2
hsa00310	AASS
hsa00310	EHMT2
hsa00310	PRDM7
hsa00310	HYKK
hsa00310	DLST
hsa00310	ECHS1
hsa00310	EHHADH
hsa00310	EZH1
hsa00310	EZH2
hsa00310	ALDH2
hsa00310	ALDH1B1
hsa00310	ALDH9A1
hsa00310	ALDH3A2
hsa00310	SETD1B
hsa00310	COLGALT2
hsa00310	GCDH
hsa00310	SETD2
hsa00310	HADHA
hsa00310	HADH
hsa00310	ACAT1
hsa00310	KMT5A
hsa00310	ACAT2
hsa00310	KMT2A
hsa00310	OGDH
hsa00310	ALDH7A1
hsa00310	KMT5B
hsa00310	AADAT
hsa00310	PIPOX
hsa00310	PLOD1
hsa00310	PLOD2
hsa00310	NSD3
hsa00310	TMLHE
hsa00310	OGDHL
hsa00310	ASH1L
hsa00310	KMT2E
hsa00310	PRDM9
hsa00310	KMT2C
hsa00310	SETMAR
hsa00310	NSD1
hsa00310	SUV39H1
hsa00310	NSD2
hsa00310	PRDM2
hsa00310	COLGALT1
hsa00310	SUV39H2
hsa00310	EHMT1
hsa00310	CAMKMT
hsa00310	KMT2D
hsa00310	SETD7
hsa00310	SETDB2
hsa00310	SETD3
hsa00310	BBOX1
hsa00310	DOT1L
hsa00310	KMT5C
hsa00310	PHYKPL
hsa00310	PLOD3
hsa00310	PRDM6
hsa00310	SETD1A
hsa00310	KMT2B
hsa00310	SETDB1
hsa00330	
hsa00330	SAT2
hsa00330	HOGA1
hsa00330	L3HYPDH
hsa00330	AZIN2
hsa00330	CKB
hsa00330	CKM
hsa00330	CKMT1B
hsa00330	CKMT2
hsa00330	DAO
hsa00330	ALDH2
hsa00330	ALDH1B1
hsa00330	ALDH9A1
hsa00330	ALDH3A2
hsa00330	GAMT
hsa00330	AOC1
hsa00330	AMD1
hsa00330	GATM
hsa00330	GOT1
hsa00330	GOT2
hsa00330	P4HA3
hsa00330	PYCR2
hsa00330	ARG1
hsa00330	ARG2
hsa00330	MAOA
hsa00330	MAOB
hsa00330	NOS1
hsa00330	NOS2
hsa00330	NOS3
hsa00330	OAT
hsa00330	ODC1
hsa00330	ALDH7A1
hsa00330	P4HA1
hsa00330	LAP3
hsa00330	SMOX
hsa00330	CKMT1A
hsa00330	CNDP2
hsa00330	PRODH
hsa00330	CARNS1
hsa00330	PYCR1
hsa00330	ALDH18A1
hsa00330	PRODH2
hsa00330	SAT1
hsa00330	PYCR3
hsa00330	SMS
hsa00330	SRM
hsa00330	AGMAT
hsa00330	CNDP1
hsa00330	ALDH4A1
hsa00330	P4HA2
hsa00340	FTCD
