drugName	DrugBankID	ChEMBLID
Tadalafil	DB00820	CHEMBL779
Sildenafil	DB00203	CHEMBL192
Vardenafil	DB00862	CHEMBL1520
Enprofylline	DB00824	CHEMBL279898
Enoximone	DB04880	CHEMBL249856
Amrinone	DB01427	CHEMBL12856
Hydralazine	DB01275	CHEMBL276832
Lenalidomide	DB00480	CHEMBL848
Dyphylline	DB00651	CHEMBL1752
Pentoxifylline	DB00806	CHEMBL628
Lactulose	DB00581	CHEMBL296306
Fludarabine	DB01073	CHEMBL1568
Naproxen	DB00788	CHEMBL154
Calcium gluceptate	DB00326	CHEMBL1237066
Fusidic acid	DB02703	CHEMBL374975
Adenosine	DB00640	CHEMBL477
Vidarabine	DB00194	CHEMBL1090
Ibuprofen	DB01050	CHEMBL521
Mupirocin	DB00410	CHEMBL719
Gamma Hydroxybutyric Acid	DB01440	CHEMBL1342
Lamotrigine	DB00555	CHEMBL741
Mexiletine	DB00379	CHEMBL558
L-Carnitine	DB00583	CHEMBL1149
Leucovorin	DB00650	CHEMBL1679
Methotrexate	DB00563	CHEMBL34259
Nafarelin	DB00666	CHEMBL1201309
Colistin	DB00803	CHEMBL501505
